Food Name,MAE,RMSE,Next Month 1 Prediction,Next Month 2 Prediction
Aaram 100% Fruit Juice,2325788.62306799,2657888.372700627,5549142.696813941,5250914.572357178
Chashi Aromatic Chinigura Rice,2248150.6849668566,2572389.801273275,4884254.859895229,4831712.422867298
Chopstick Instant Noodles,2154347.540387252,2540127.9388101078,5040839.673351169,5005311.583419204
Chopstick Ramen,2129536.1084397053,2513157.6974722603,5501878.843251675,5483801.153804213
Radhuni Bar-B-Q Masala,2426206.1148073226,2696313.181014698,5668681.30911684,5601793.31673944
Radhuni Beef Masala,2176777.7865270902,2525582.3851099517,5721977.571133852,5674886.689125061
Radhuni Biryani Masala,2282089.0717182136,2637778.3865695973,5707319.609962463,5786227.028284788
Radhuni Borhani Masala,2490564.78694742,2896610.3072303073,6424999.650578976,6555262.724782944
Radhuni Butter Chicken Masala,2257953.298584844,2709456.9216466234,4959894.0920398235,4927665.934376955
Radhuni Chatpati Masala,2182063.6771722506,2529354.9655912034,5525367.185377024,5599674.347743981
Radhuni Chicken Masala,2277425.8176023536,2596937.7000266872,5647767.558654726,5705270.917697191
Radhuni Chicken Tandoori Masala,2159238.2408457077,2474204.2901730356,5469809.0103513,5822729.094308853
Radhuni Chilli Flakes,2320174.9601519704,2641182.7755182283,4917300.986647248,4803443.1884794235
Radhuni Chilli Powder,2500255.4745231825,2848800.8134596543,5718324.800421238,5886272.862206936
Radhuni Coriander Powder,2337489.5422866126,2706341.4358992074,6061760.926089525,6157170.463777542
Radhuni Cumin Powder,2386521.7067415337,2715421.536362987,5697204.053543806,6010365.528697729
Radhuni Custard Powder,2288992.200079762,2626667.8739687516,6119881.105623484,6113100.752954721
Radhuni Falooda Mix,2236518.6944603347,2684840.8005355624,4994196.029907703,4917403.865085125
Radhuni Firni Mix,2294229.426503599,2681272.7328729914,5300162.816865981,5296778.601019442
Radhuni Fish Curry Masala,2409628.121251948,2725287.706727765,5962244.511618733,5564855.249617279
Radhuni Garam Masala,2296484.4314210424,2648459.446084465,4904273.393298268,5039715.028437138
Radhuni Haleem Mix,2275855.6335490565,2679026.0630766586,5748380.184214592,5841386.531206965
Radhuni Hyderabadi Biryani Masala,2380980.851890603,2726319.0523139187,5172561.814851999,5203127.749771833
Radhuni Jali Kebab Masala,2050440.0586727823,2423499.666564981,5650547.075494051,5730947.175574601
Radhuni Jorda Mix,2335944.1367812017,2640543.915031795,5850561.3055025935,5676495.46761924
